source,target,measured_distance,expected_paths_min
29721,225,1,1
29721,2,2,1
29721,3,3,1
29721,55,4,1
29721,1469,5,1
13475,1836,1,1
13475,11,2,1
13475,2,3,1
13475,3,4,1
13475,216,5,1
3920,303,1,1
3920,2,2,1
3920,3,3,1
3920,91,4,1
3920,1509,5,1
36122,294,1,1
36122,2,2,1
36122,3,3,1
36122,55,4,1
36122,1973,5,1
29352,44883,1,1
29352,2,2,1
29352,3,3,1
29352,55,4,1
29352,1469,5,1
26208,4373,1,1
26208,2,2,1
26208,3,3,1
26208,55,4,1
26208,1469,5,1
15785,168,1,1
15785,2,2,1
15785,7,3,1
15785,3,4,1
15785,474,5,1
45520,44883,1,1
45520,2,2,1
45520,3,3,1
45520,55,4,1
45520,1469,5,1
